1 3 11 13 21 14 26 22
2 4 13 7 29 23 14 26
3 4 19 25 22 11 50 38
4 5 16 20 27 27 40 32
5 8 12 25 25 29 50 24
6 9 11 15 21 15 30 22
7 10 17 4 28 19 8 34
8 10 18 9 26 17 18 36
9 11 13 21 23 22 42 26
10 14 11 12 21 25 24 22
11 16 15 3 29 13 6 30
12 16 16 7 28 26 14 32
13 19 19 11 23 11 22 38
14 21 17 5 24 17 10 34
15 24 12 3 22 19 6 24
1 25 13 26 21 23 52 26
2 27 11 33 28 28 66 22
3 28 15 21 26 25 42 30
4 29 16 29 23 11 58 32
5 30 19 16 21 17 32 38
6 30 17 25 29 15 50 34
7 31 13 32 28 22 64 26
8 31 19 43 23 26 86 38
9 32 16 9 24 29 18 32
10 32 12 20 22 19 40 24
11 33 11 37 28 15 74 22
12 34 17 5 26 11 10 34
13 34 18 13 23 17 26 36
14 34 11 28 21 16 56 22
15 36 14 41 29 23 82 28
1 3 17 52 22 25 104 34
2 8 13 49 27 13 98 26
3 9 19 41 25 26 82 38
4 9 16 54 28 11 108 32
5 11 12 44 26 17 88 24
6 13 11 38 23 19 76 22
7 13 17 51 21 23 102 34
8 13 18 57 29 28 114 36
9 15 11 32 25 25 64 22
10 16 14 46 27 11 92 28
11 18 15 39 28 11 78 30
12 18 13 55 26 27 110 26
13 19 19 27 23 29 54 38
14 19 17 33 21 15 66 34
15 20 12 50 29 19 100 24
