1 3 11 13 22 14 26 26
 2 4 13 7 26 23 24 14
 3 4 19 25 38 11 20 50
 4 5 16 20 32 27 20 40
 5 8 12 25 24 29 20 50
 6 9 11 15 22 15 20 30
 7 10 17 4 34 19 28 8
 8 10 18 9 36 17 28 18
 9 11 13 21 26 22 22 42
10 14 11 12 22 25 24 24
11 16 15 3 30 13 26 6
12 16 16 7 32 26 24 14
13 19 19 11 38 11 22 22
14 21 17 5 34 17 20 10
15 24 12 3 24 19 26 6
 1 25 13 26 26 23 22 52
 2 27 11 33 22 28 26 66
 3 28 15 21 30 25 22 42
 4 29 16 29 32 11 28 58
 5 30 19 16 38 17 22 32
 6 30 17 25 34 15 20 50
 7 31 13 32 26 22 24 64
 8 31 19 43 38 26 26 86
 9 32 16 9 32 29 28 18
10 32 12 20 24 19 20 40
11 33 11 37 22 15 24 74
12 34 17 5 34 11 20 10
13 34 18 13 36 17 26 26
14 34 11 28 22 16 26 56
15 36 14 41 28 23 22 82
  1 3 17 52 34 25 24 104
 2 8 13 49 26 13 28 98
 3 9 19 41 38 26 22 82
 4 9 16 54 32 11 28 108
 5 11 12 44 24 17 28 88
 6 13 11 38 22 19 26 76
 7 13 17 51 34 23 22 102
 8 13 18 57 36 28 24 114
 9 15 11 32 22 25 24 64
10 16 14 46 28 11 22 92
11 18 15 39 30 11 28 78
12 18 13 55 26 27 20 110
13 19 19 27 38 29 24 54
14 19 17 33 34 15 26 66
15 20 12 50 24 19 20 100
