 1 24 24 22 11 32 22 48
 2 26 20 20 13 33 26 40
 3 28 22 24 19 34 38 45
 4 20 25 26 16 34 32 51
 5 26 21 28 12 35 24 42
 6 22 19 20 11 36 22 38
 7 26 24 24 17 36 34 49
 8 22 27 20 18 36 36 54
 9 28 22 24 13 37 26 45
10 22 25 22 11 37 22 51
11 20 19 20 15 39 30 39
12 24 21 26 16 39 32 42
13 26 23 22 19 39 38 47
14 28 22 24 17 40 34 44
15 20 20 26 12 41 24 41
 1 24 35 28 13 44 26 71
 2 20 34 20 11 45 22 68
 3 24 32 26 15 46 30 64
 4 22 36 22 16 46 32 73
 5 20 34 26 19 47 38 69
 6 26 30 22 17 48 34 60
 7 22 33 28 13 48 26 67
 8 24 35 22 19 48 38 71
 9 26 31 22 16 49 32 63
10 28 34 20 12 50 24 69
11 20 36 24 11 50 22 72
12 26 30 26 17 51 34 61
13 22 33 28 18 51 36 66
14 26 35 20 11 51 22 71
15 22 32 24 14 53 28 65
 1 28 25 20 17 57 34 51
 2 22 27 24 13 58 26 55
 3 20 26 22 19 59 38 53
 4 24 29 20 16 59 32 59
 5 26 24 26 12 60 24 48
 6 28 28 22 11 60 22 56
 7 20 31 24 17 60 34 62
 8 24 25 26 18 61 36 51
 9 20 29 28 11 61 22 58
10 24 27 20 14 62 28 54
11 22 30 26 15 62 30 60
12 20 24 22 13 63 26 49
13 26 28 26 19 63 38 57
14 22 26 22 17 64 34 52
15 24 27 28 12 65 24 55
