1 18 11 18 1 17 22 9
2 13 13 4 2 12 26 2
3 11 19 34 2 13 38 17
4 15 16 12 3 11 32 6
5 16 12 24 3 15 24 12
6 19 11 6 5 16 22 3
7 17 17 22 5 19 34 11
8 12 18 28 5 17 36 14
9 13 13 16 6 13 26 8
10 11 11 10 8 19 22 5
11 15 15 22 8 16 30 11
12 16 16 30 8 12 32 15
13 19 19 8 10 11 38 4
14 17 17 16 10 17 34 8
15 13 12 22 12 18 24 11
1 19 13 48 24 18 26 24
2 16 11 58 25 13 22 29
3 12 15 40 26 11 30 20
4 11 16 52 27 15 32 26
5 17 19 30 28 17 38 15
6 18 17 46 28 17 34 23
7 18 13 60 28 12 26 30
8 13 19 36 29 13 38 18
9 11 16 44 30 11 32 22
10 15 12 54 30 15 24 27
11 16 11 34 31 16 22 17
12 19 17 54 32 19 34 27
13 17 18 62 32 17 36 31
14 12 11 44 34 13 22 22
15 13 14 54 36 19 28 27
1 11 17 92 9 16 34 46
2 15 13 100 10 12 26 50
3 16 19 78 11 11 38 39
4 19 16 88 12 17 32 44
5 17 12 106 12 18 24 53
6 13 11 98 14 18 22 49
7 19 17 72 15 13 34 36
8 16 18 80 15 11 36 40
9 18 11 92 15 15 22 46
10 13 14 104 16 17 28 52
11 11 15 90 17 12 30 45
12 15 13 98 17 13 26 49
13 16 19 76 18 11 38 38
14 19 17 96 19 15 34 48
15 17 12 86 20 16 24 43
