 1 22 25 27 21 63 11 21
 2 28 27 28 25 59 14 20
 3 38 24 29 27 67 19 22
 4 30 20 30 24 64 15 21
 5 26 21 31 25 58 13 19
 6 22 26 31 27 70 11 23
 7 22 29 32 24 62 11 21
 8 32 25 33 20 69 16 23
 9 36 24 34 21 60 18 20
10 38 29 34 26 66 19 22
11 26 22 35 29 63 13 21
12 30 28 37 25 64 15 21
13 22 21 37 24 68 11 23
14 28 25 38 29 71 14 24
15 20 27 39 25 69 10 23
  1 30 24 34 24 31 15 10
 2 26 25 36 29 27 13 9
 3 22 27 37 22 37 11 12
 4 22 24 38 28 30 11 10
 5 32 20 38 21 33 16 11
 6 36 21 38 25 41 18 14
 7 38 26 40 27 29 19 10
 8 26 29 40 24 40 13 13
 9 30 25 41 25 35 15 12
10 22 24 41 21 38 11 13
11 28 29 41 25 45 14 15
12 38 25 42 27 42 19 14
13 30 24 43 24 34 15 11
14 26 29 43 25 47 13 16
15 22 22 45 27 39 11 13
  1 22 28 53 24 52 11 17
 2 32 21 54 20 48 16 16
 3 36 25 54 21 54 18 18
 4 38 27 54 26 58 19 19
 5 26 24 55 29 50 13 17
 6 30 25 56 25 46 15 15
 7 22 27 56 24 53 11 18
 8 28 24 56 29 56 14 19
 9 38 20 56 25 59 19 20
10 26 21 57 24 49 13 16
11 22 26 57 29 60 11 20
12 22 29 58 22 55 11 18
13 32 25 58 28 57 16 19
14 36 24 59 21 47 18 16
15 38 29 59 25 53 19 18
