 1 18 17 11 55 35 22 17 14 29 22
 2 17 22 13 56 34 26 19 11 23 34
 3 15 25 19 57 30 38 23 16 32 36
 4 16 13 16 57 32 32 28 19 38 26
 5 19 26 12 57 37 24 14 13 26 22
 6 15 11 11 59 30 22 23 15 31 30
 7 17 17 17 60 33 34 11 12 24 32
 8 18 19 18 60 36 36 27 21 43 38
 9 18 23 13 61 35 26 29 19 37 34
 10 14 28 11 62 28 22 15 13 25 24
 11 17 14 15 62 33 30 19 13 26 26
 12 15 23 16 63 30 32 17 12 24 22
 13 18 11 19 63 35 38 22 20 39 30
 14 16 27 17 64 32 34 25 11 21 32
 15 15 29 12 65 29 24 13 15 31 38
 1 27 15 13 37 53 26 26 17 35 34
 2 28 19 11 38 55 22 11 19 39 26
 3 25 17 15 39 50 30 17 16 32 38
 4 29 22 16 39 57 32 19 24 48 32
 5 24 25 19 41 47 38 23 23 45 24
 6 27 13 17 41 54 34 28 20 41 22
 7 22 26 13 42 43 26 25 27 53 34
 8 26 11 19 42 51 38 11 25 51 36
 9 27 17 16 43 55 32 17 23 47 22
 10 21 19 12 44 41 24 17 28 56 28
 11 25 23 11 44 49 22 19 21 42 34
 12 23 28 17 45 46 34 23 18 36 26
 13 26 25 18 45 52 36 28 16 31 38
 14 22 11 11 46 43 22 14 15 30 32
 15 24 17 14 47 47 28 23 26 51 24
 1 30 15 17 51 60 34 11 18 36 22
 2 28 22 13 52 56 26 27 23 47 34
 3 32 26 19 52 64 38 29 25 50 36
 4 26 29 16 53 52 32 15 14 28 22
 5 30 19 12 53 59 24 19 13 26 28
 6 28 14 11 54 55 22 17 11 23 30
 7 31 13 17 54 61 34 22 19 37 26
 8 33 26 18 54 65 36 25 10 21 38
 9 25 11 11 55 50 22 13 12 25 22
 10 29 17 14 56 58 28 26 15 30 34
 11 32 19 15 56 63 30 11 13 26 36
 12 27 23 13 57 54 26 17 11 22 26
 13 26 28 19 58 51 38 19 25 51 22
 14 30 25 17 58 60 34 23 21 42 30
 15 28 11 12 59 56 24 28 19 38 32
 1 37 12 36 35 74 15 18 16 33 38
 2 33 19 26 41 67 16 13 14 27 34
 3 34 16 22 37 68 19 11 11 21 24
 4 35 12 30 47 69 17 15 19 37 26
5 35 11 32 43 70 12 16 10 21 22
6 36 17 38 41 71 13 19 15 31 30
7 35 18 34 36 71 11 17 17 33 32
8 37 13 24 43 73 15 12 21 42 38
9 37 11 26 38 74 16 13 23 45 34
10 38 15 22 48 75 19 11 16 32 26
11 39 16 30 43 77 17 15 14 27 38
12 39 19 32 38 77 13 16 13 26 22
13 39 17 38 34 78 19 19 18 36 34
14 40 12 34 38 80 16 17 21 42 36
15 41 13 26 42 81 12 13 13 26 26
